variant,step,fact_id,condition,layer,flipped,first_flip_layer
step_00050,50,cf_3636,latent,4,True,
step_00050,50,cf_3636,latent,5,True,
step_00050,50,cf_3636,latent,6,True,
step_00050,50,cf_3636,latent,7,True,
step_00050,50,cf_3636,latent,8,True,
step_00050,50,cf_3636,latent,9,True,
step_00050,50,cf_3636,latent,10,True,
step_00050,50,cf_3636,latent,11,True,
step_00050,50,cf_3636,latent,12,True,
step_00050,50,cf_3636,latent,13,True,
step_00050,50,cf_3636,latent,14,True,
step_00050,50,cf_3636,latent,15,True,
step_00050,50,cf_3636,latent,16,True,
step_00050,50,cf_3636,latent,17,True,
step_00050,50,cf_3636,latent,18,True,
step_00050,50,cf_3636,latent,19,True,
step_00050,50,cf_3636,latent,20,True,
step_00050,50,cf_3636,latent,21,True,
step_00050,50,cf_3636,latent,22,True,
step_00050,50,cf_3636,latent,23,True,
step_00050,50,cf_3636,latent,24,True,
step_00050,50,cf_3636,latent,-1,True,0.0
step_00050,50,cf_11020,latent,0,False,
step_00050,50,cf_11020,latent,1,False,
step_00050,50,cf_11020,latent,2,False,
step_00050,50,cf_11020,latent,3,False,
step_00050,50,cf_11020,latent,4,False,
step_00050,50,cf_11020,latent,5,False,
step_00050,50,cf_11020,latent,6,False,
step_00050,50,cf_11020,latent,7,False,
step_00050,50,cf_11020,latent,8,False,
step_00050,50,cf_11020,latent,9,False,
step_00050,50,cf_11020,latent,10,False,
step_00050,50,cf_11020,latent,11,True,
step_00050,50,cf_11020,latent,12,True,
step_00050,50,cf_11020,latent,13,True,
step_00050,50,cf_11020,latent,14,True,
step_00050,50,cf_11020,latent,15,True,
step_00050,50,cf_11020,latent,16,True,
step_00050,50,cf_11020,latent,17,True,
step_00050,50,cf_11020,latent,18,True,
step_00050,50,cf_11020,latent,19,True,
step_00050,50,cf_11020,latent,20,True,
step_00050,50,cf_11020,latent,21,True,
step_00050,50,cf_11020,latent,22,True,
step_00050,50,cf_11020,latent,23,True,
step_00050,50,cf_11020,latent,24,True,
step_00050,50,cf_11020,latent,-1,True,11.0
step_00050,50,cf_6856,latent,0,False,
step_00050,50,cf_6856,latent,1,False,
step_00050,50,cf_6856,latent,2,False,
step_00050,50,cf_6856,latent,3,False,
step_00050,50,cf_6856,latent,4,False,
step_00050,50,cf_6856,latent,5,False,
step_00050,50,cf_6856,latent,6,False,
step_00050,50,cf_6856,latent,7,False,
step_00050,50,cf_6856,latent,8,False,
step_00050,50,cf_6856,latent,9,False,
step_00050,50,cf_6856,latent,10,False,
step_00050,50,cf_6856,latent,11,False,
step_00050,50,cf_6856,latent,12,False,
step_00050,50,cf_6856,latent,13,False,
step_00050,50,cf_6856,latent,14,False,
step_00050,50,cf_6856,latent,15,False,
step_00050,50,cf_6856,latent,16,False,
step_00050,50,cf_6856,latent,17,False,
step_00050,50,cf_6856,latent,18,False,
step_00050,50,cf_6856,latent,19,False,
step_00050,50,cf_6856,latent,20,False,
step_00050,50,cf_6856,latent,21,False,
step_00050,50,cf_6856,latent,22,False,
step_00050,50,cf_6856,latent,23,False,
step_00050,50,cf_6856,latent,24,False,
step_00050,50,cf_6856,latent,-1,False,
step_00050,50,cf_18246,latent,0,False,
