variant,step,fact_id,condition,control,layer,flipped,logit_diff,first_flip_layer,first_positive_diff_layer
final,535,cf_7199,latent,self,12,False,8.580476760864258,,
final,535,cf_7199,latent,self,13,False,8.580476760864258,,
final,535,cf_7199,latent,self,14,False,8.580476760864258,,
final,535,cf_7199,latent,self,15,False,8.580476760864258,,
final,535,cf_7199,latent,self,16,False,8.580476760864258,,
final,535,cf_7199,latent,self,17,False,8.580476760864258,,
final,535,cf_7199,latent,self,18,False,8.580476760864258,,
final,535,cf_7199,latent,self,19,False,8.580476760864258,,
final,535,cf_7199,latent,self,20,False,8.580476760864258,,
final,535,cf_7199,latent,self,21,False,8.580476760864258,,
final,535,cf_7199,latent,self,22,False,8.580476760864258,,
final,535,cf_7199,latent,self,23,False,8.580476760864258,,
final,535,cf_7199,latent,self,24,False,8.782724380493164,,
final,535,cf_7199,latent,self,-1,False,,,0.0
final,535,cf_8882,latent,self,0,False,12.716827392578125,,
final,535,cf_8882,latent,self,1,False,12.716827392578125,,
final,535,cf_8882,latent,self,2,False,12.716827392578125,,
final,535,cf_8882,latent,self,3,False,12.716827392578125,,
final,535,cf_8882,latent,self,4,False,12.716827392578125,,
final,535,cf_8882,latent,self,5,False,12.716827392578125,,
final,535,cf_8882,latent,self,6,False,12.716827392578125,,
final,535,cf_8882,latent,self,7,False,12.716827392578125,,
final,535,cf_8882,latent,self,8,False,12.716827392578125,,
final,535,cf_8882,latent,self,9,False,12.716827392578125,,
final,535,cf_8882,latent,self,10,False,12.716827392578125,,
final,535,cf_8882,latent,self,11,False,12.716827392578125,,
final,535,cf_8882,latent,self,12,False,12.716827392578125,,
final,535,cf_8882,latent,self,13,False,12.716827392578125,,
final,535,cf_8882,latent,self,14,False,12.716827392578125,,
final,535,cf_8882,latent,self,15,False,12.716827392578125,,
final,535,cf_8882,latent,self,16,False,12.716827392578125,,
final,535,cf_8882,latent,self,17,False,12.716827392578125,,
final,535,cf_8882,latent,self,18,False,12.716827392578125,,
final,535,cf_8882,latent,self,19,False,12.716827392578125,,
final,535,cf_8882,latent,self,20,False,12.716827392578125,,
final,535,cf_8882,latent,self,21,False,12.716827392578125,,
final,535,cf_8882,latent,self,22,False,12.716827392578125,,
final,535,cf_8882,latent,self,23,False,12.716827392578125,,
final,535,cf_8882,latent,self,24,False,12.664299964904785,,
final,535,cf_8882,latent,self,-1,False,,,0.0
final,535,cf_17346,latent,self,0,False,0.6906929016113281,,
final,535,cf_17346,latent,self,1,False,0.6906929016113281,,
final,535,cf_17346,latent,self,2,False,0.6906929016113281,,
final,535,cf_17346,latent,self,3,False,0.6906929016113281,,
final,535,cf_17346,latent,self,4,False,0.6906929016113281,,
final,535,cf_17346,latent,self,5,False,0.6906929016113281,,
final,535,cf_17346,latent,self,6,False,0.6906929016113281,,
final,535,cf_17346,latent,self,7,False,0.6906929016113281,,
final,535,cf_17346,latent,self,8,False,0.6906929016113281,,
final,535,cf_17346,latent,self,9,False,0.6906929016113281,,
final,535,cf_17346,latent,self,10,False,0.6906929016113281,,
final,535,cf_17346,latent,self,11,False,0.6906929016113281,,
final,535,cf_17346,latent,self,12,False,0.6906929016113281,,
final,535,cf_17346,latent,self,13,False,0.6906929016113281,,
final,535,cf_17346,latent,self,14,False,0.6906929016113281,,
final,535,cf_17346,latent,self,15,False,0.6906929016113281,,
final,535,cf_17346,latent,self,16,False,0.6906929016113281,,
final,535,cf_17346,latent,self,17,False,0.6906929016113281,,
final,535,cf_17346,latent,self,18,False,0.6906929016113281,,
final,535,cf_17346,latent,self,19,False,0.6906929016113281,,
final,535,cf_17346,latent,self,20,False,0.6906929016113281,,
final,535,cf_17346,latent,self,21,False,0.6906929016113281,,
final,535,cf_17346,latent,self,22,False,0.6906929016113281,,
final,535,cf_17346,latent,self,23,False,0.6906929016113281,,
final,535,cf_17346,latent,self,24,False,0.5248985290527344,,
final,535,cf_17346,latent,self,-1,False,,,0.0
final,535,cf_15927,latent,self,0,False,2.2166900634765625,,
final,535,cf_15927,latent,self,1,False,2.2166900634765625,,
final,535,cf_15927,latent,self,2,False,2.2166900634765625,,
