variant,step,condition,prompt_type,lens,final_accuracy,final_top5_accuracy,final_mrr,mean_final_logprob,mean_first_layer,n_first_layer,frac_never_top1,n_prompts,rank
base,0,unknown,paraphrase,tuned,0.023286759813705923,0.14171656686626746,0.08702010201676588,-6.7932528074203695,18.727272727272727,66,0.9560878243512974,1503,0
r4,4,unknown,paraphrase,tuned,0.4550898203592814,0.729208250166334,0.5795923010184479,-2.372562397022957,20.1025,800,0.46773120425815035,1503,4
r8,8,unknown,paraphrase,tuned,0.5282767797737857,0.7671324018629407,0.6343379490592898,-2.150824282249806,19.834862385321102,872,0.4198270126413839,1503,8
r16,16,unknown,paraphrase,tuned,0.5721889554224884,0.8023952095808383,0.6744102941026051,-1.9298527402346626,19.745568300312826,959,0.36194278110445777,1503,16
r32,32,unknown,paraphrase,tuned,0.6393878908848969,0.8642714570858283,0.7366441796121098,-1.5914718616123602,19.467298578199053,1055,0.2980705256154358,1503,32
base,0,unknown,train,tuned,0.0,0.0,0.02988193335201663,-7.374056722640991,20.0,7,0.986,500,0
r4,4,unknown,train,tuned,0.598,0.838,0.7046770838741421,-1.6599024158874527,20.372670807453417,322,0.356,500,4
r8,8,unknown,train,tuned,0.718,0.898,0.7947606363680753,-1.2342389726638794,20.148936170212767,376,0.248,500,8
r16,16,unknown,train,tuned,0.782,0.942,0.8532738989994425,-0.9410976344377268,19.8679706601467,409,0.182,500,16
r32,32,unknown,train,tuned,0.896,0.97,0.9297246212455738,-0.5278637217388604,19.422657952069716,459,0.082,500,32
